tweet_text,tweet_date,tweet_id,tweet_fav_count,retweet_count,sentiment_compound
@Adam_Stirling They call it Kinder-Morgan revenue sharing?!?  Shouldn’t it be Canadian taxpayer revenue sharing?,2018-05-31 22:27:05,1002315556639260672,0,0,0.753
@JustinTrudeau  shame on you for your decision to bail out the Kinder Morgan tar sands pipeline! Canada should focus on clean renewable energy!,2018-05-31 22:25:18,1002315107962118144,0,0,0.6688
Join the National Day of Action to Stop the Kinder Morgan buyout on June 4th. Only a huge public outcry can stop this outrageous buyout before it's finalized https://t.co/7nQkiaC0kV,2018-05-31 22:23:21,1002314619048771584,0,0,-0.5423
@realDonaldTrump Love all the low hanging fruit who want to trade Trudeau for Trump.https://t.co/jUyYkGvz0x,2018-05-31 22:22:27,1002314390534647808,0,0,0.5267
@BruceAHeyman @JustinTrudeau Former Ambassador Heyman  can you prevail upon the PM to reverse his disastrous decision to buy the Kinder Morgan pipeline? It's bad for the environment.,2018-05-31 22:20:29,1002313894650634240,0,0,-0.6369
lol https://t.co/RfIG8dBfwk,2018-05-31 22:16:09,1002312806807433216,1,0,0.4215
"This guy is Pure EVIL.

Funds groups to oppose Kinder Morgan
Funds iZlamic Groups to continue their Stealth Jihad
Funds Leftists to campaign against Doug Ford.

Does anyone else see this TREASONous behaviour....??

This POS needs to be behind BARS..at the very least. https://t.co/hhCk29p4Ri",2018-05-31 22:15:50,1002312724020416514,72,58,-0.8388
J’ai écrit à @JustinTrudeau pour lui demander de ne pas utiliser l’argent de mes impôts pour financer le pipeline de Kinder Morgan. Écrivez-lui vous aussi &gt;&gt; https://t.co/qJCTc7iO3V #StopKM,2018-05-31 22:14:15,1002312327742607361,0,0,0.4939
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/vecy5T3bFw? https://t.co/kPPCooLZvL,2018-05-31 22:14:14,1002312320993783809,1,0,-0.5514
@JustinTrudeau   I helped elect you.  So did many of my friends and family.  We won't do it again.  I really don't care what you do right from here on.  You've lost me along with a huge constituency of  support forever over your Kinder-Morgan buy out.  STUPID MOVE!!!,2018-05-31 22:13:41,1002312186377564160,0,0,-0.4793
And for those lefties out there who don't understand business and economics  but who nonetheless frame buyout as Kinder Morgan fleecing the government  this actually means investors think selling Trans Mountain was a bad deal for KM. It's a good money making asset. https://t.co/tqVZy08nDy,2018-05-31 22:13:03,1002312024267735040,13,9,0.7684
@AndrewScheer @monica_barona If Energy East and Kinder Morgan went ahead  there would be lots of steel jobs.,2018-05-31 22:12:49,1002311967179042816,0,0,0.6486
@AndrewScheer @monica_barona If Energy East and Kinder Morgan went ahead  there would be lots of steel jobs.,2018-05-31 22:12:49,1002311967179042816,0,0,0.6486
Trudeau’s Finance Minister  Bill Morneau  announced that Canada was willing to write a blank cheque from Canadian citizens to Texas-based oil pipeline company Kinder Morgan to indemnify the company against political risks to the Trans Mountain project. https://t.co/JPwNbEC569,2018-05-31 22:11:22,1002311603113680896,0,0,0.2732
Kinder-Morgan Fiasco: The Cat Is Out of the Bag at the Canada Pension Plan Investment Board (CPPIB) | Global Research - Centre for Research on Globalization https://t.co/JPwNbEktHz,2018-05-31 22:10:25,1002311364180729856,0,0,-0.5106
"""@JustinTrudeau's government announced on Tuesday that it would nationalize the Kinder Morgan pipeline running from the tar sands of Alberta to the tidewater of British Columbia. It will fork over at least $4.5bn in Canadian taxpayers’ money for the right to..."" @billmckibben 2/",2018-05-31 22:10:24,1002311356618600448,0,0,0.4939
"@billmckibben:   ""In case anyone wondered  this is how the world ends: with the cutest  progressivest  boybandiest leader in the world going fully in the tank for the oil industry...""  1/
#climaterejection #climatebreakdown #grandkidsgaze #timecapsule2100

https://t.co/AH79CgI23m",2018-05-31 22:10:23,1002311353590255616,0,0,0.5859
Trudeau’s Reckless Support for Kinder-Morgan. Billions of Tax Dollars to Buy an Unbuildable  Financially Doomed Pipeline | Global Research - Centre for Research on Globalization https://t.co/28hOD4Yra8,2018-05-31 22:10:04,1002311274825334784,0,0,-0.6369
"Utter  complete madness..

""the real cost could be as high as $15-to-$20 billion. Yet  there is no Kinder Morgan line item in the last federal budget""

By buying Trans Mountain  the Trudeau government breaks an array of promises

https://t.co/yb4B4SkbB9",2018-05-31 22:08:57,1002310992733224960,1,2,0.5574
"Hi Terry  how's things going?

Urgent #ClimateAction pls.

""real cost could be as high as $20 billion. Yet  there is no Kinder Morgan line item in the last federal budget""

By buying Trans Mountain  #Trudeau gov breaks an array of promises

@terrybeech 

https://t.co/yb4B4SBMZJ",2018-05-31 22:08:03,1002310768363212800,1,1,0.6908
"@JustinTrudeau.  Can't do anything right

Poll: Federal Liberals losing support in B.C. over past Kinder Morgan pipeline decisions https://t.co/gngBg7dALc",2018-05-31 22:06:39,1002310414372364290,0,0,0.5106
~   Trans Mountain Pipeline lawyers were in B.C. Supreme Court Thursday morning trying to shut down an injunction loophole anti-pipeline protesters... https://t.co/Zk6HlIN5xC,2018-05-31 22:06:25,1002310355089936384,0,0,0.5574
Canadian Prime Minister Justin Trudeau  the Internet’s problematic boyfriend  has a history of touting lofty climate goals while subsidizing fossil fuels. Now he’s gone and bought the country a pipeline. https://t.co/qE5BwigEh1,2018-05-31 22:05:02,1002310008552517633,0,3,-0.5574
https://t.co/b4VyXFp9C3,2018-05-31 22:04:41,1002309919872188416,1,1,0.0
"@globeandmail @uteg12 @GlobeDebate Utter  complete madness..

""the real cost could be as high as $15-to-$20 billion. Yet  there is no Kinder Morgan line item in the last federal budget""

By buying Trans Mountain  the Trudeau government breaks an array of promises

https://t.co/yb4B4SkbB9",2018-05-31 22:04:40,1002309914595717120,0,0,0.5574
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/okIHtxJgmY,2018-05-31 22:01:45,1002309179388977153,0,0,0.0
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/pe08M0zgmZ,2018-05-31 22:00:23,1002308837515386885,0,0,0.0
First Nations Activist: Canada’s Kinder Morgan Pipeline Will Cause Environmental &amp; Economic Disaster https://t.co/qsSk0E6oU3 https://t.co/qsZpkNaeNV,2018-05-31 22:00:18,1002308816229355521,7,5,-0.2263
Thanks John! @jjhorgan  https://t.co/XC7loW0M0r,2018-05-31 22:00:10,1002308783962447872,2,0,0.4926
https://t.co/kjYHGwtrP1,2018-05-31 21:57:33,1002308123770675201,0,0,0.0
"Let it be known when protectors say something is off  they're not being hyperbolic. Corporations go to any length to subvert the rights of the avg. citizen.

#stopKM #NoKMbailout #cdnpoli #bcpoli #protecttheinlet https://t.co/FIjWSJay42",2018-05-31 21:56:56,1002307967138426881,6,4,0.0
"#KinderMorgan Canada share target cut as growth hopes fall post pipeline deal
https://t.co/MWQvpLoYGr #stopkm #bcpoli #cdnpoli #protecttheinlet #transmountain #transmountainpipeline #tmx #KinderMorganPipeline",2018-05-31 21:55:46,1002307676104114177,7,8,0.6705
Op-ed: I was arrested for protesting against Canada's pipeline – and the battle is far from over https://t.co/DG2tIjG77R via @guardian https://t.co/DOvnBaGpqD,2018-05-31 21:55:22,1002307573272535040,0,0,-0.8176
"Grant &amp; Stafford. Anti Kinder Morgan protesters.  Or should I say uninformed granola environmental ""activists"" still living in their parents basement.  
#KM #buildKM @SuzakiTheAmazon 
@cjob https://t.co/8TX2J1gDXU",2018-05-31 21:52:14,1002306785087127552,0,0,0.3612
J’ai écrit à @JustinTrudeau pour lui demander de ne pas utiliser l’argent de mes impôts pour financer le pipeline de Kinder Morgan. Écrivez-lui vous aussi &gt;&gt; https://t.co/L1yYltAJOx #StopKM,2018-05-31 21:51:56,1002306710042763264,1,1,0.4939
Prime Minister Justin Trudeau said at a conference Tuesday that federal control over the #TransMountain pipeline could simplify development of at least this project. https://t.co/wiXlN5Rfxo,2018-05-31 21:50:08,1002306259352195074,1,0,0.0
Disgusting.... These trade deals need to be stopped. Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/jzJDLXwmFE,2018-05-31 21:49:46,1002306163613011968,0,0,-0.6249
@JustinTrudeau But you're buying Houston- based Kinder Morgan's pipeline,2018-05-31 21:49:44,1002306157006991360,0,0,0.4939
@dogwoodbc @ElizabethMay don't recall him making any promises with respect to not buying Kinder Morgan...do you? I believe he promised to do what was best for Canada as a nation and that is what he is doing,2018-05-31 21:47:33,1002305606093455361,0,0,0.8681
On-line Crowdcast to plan opposition to pipeline starting at 5:30 pacific time https://t.co/uSCGjWXGIU,2018-05-30 23:59:49,1001976508037173251,4,1,0.0
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/gPsciJz7OZ https://t.co/nTAupqk18m,2018-05-30 23:58:57,1001976287882366982,4,4,0.0
Canada’s Deal to Purchase Kinder Morgan Assets https://t.co/igyT9U7Ly5 via @grtvnews,2018-05-30 23:58:08,1001976081455439872,0,0,0.5994
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/HQuNLC02Kg,2018-05-30 23:57:51,1001976013075681280,0,0,0.0
Canadian taxpayers just bought Enron Pipelines  AKA Kinder Morgan.  What could possibly go wrong? https://t.co/5b21MESxbX,2018-05-30 23:56:13,1001975599060213765,1,0,0.0258
Canadian Government announces it will purchase Kinder Morgan Pipeline for 3.45 billion US https://t.co/kvVr8Eze4K via @IndianCountry,2018-05-30 23:55:41,1001975465303822336,1,0,0.4939
"#BillC262 passed 3rd reading 206-79 in @ParliamentCA and passes to @SenateCA. Will ensure Canada’s laws conform with #UNDRIP. HUGE step for #Reconciliation with #Indigenous! Thank you @RomeoSaganash for holding us to a higher standard! You make us proud!

https://t.co/lkzzCNS7Ze",2018-05-30 23:54:02,1001975050587770880,6,5,0.9024
@dnaeille @RobynWins111 @my_bijutsu @AJWVictoriaBC @TheTyee They did it's called the kinder Morgan pipeline,2018-05-30 23:53:52,1001975010192392192,0,0,0.4939
By insuring #KinderMorgan projects @AIGinsurance  @MunichRe and @LloydsofLondon are violating Indigenous rights. See here for a full list of 25 Kinder Morgan insurers - https://t.co/GsXGJbShK5 #StopKM #UnfriendCoal,2018-05-30 23:52:30,1001974666712502272,0,0,-0.0772
“We know now how history will remember Justin Trudeau: not as a dreamy progressive  but as one more pathetic employee of the richest  most reckless industry in the planet’s history.” https://t.co/P1t1sfYXat,2018-05-30 23:51:47,1001974482289004544,0,0,-0.7077
From @robynallan in @NatObserver: Kinder Morgan bailout to cost north of $15 billion https://t.co/BLiATuY2Ml #tmx #cdnpoli #bcpoli #abpoli #oilsands,2018-05-30 23:50:51,1001974249622593536,2,2,0.4215
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/mKE7YMEWkj,2018-05-30 23:50:23,1001974133977239552,0,0,0.0
https://t.co/VT9tL5Wior,2018-05-30 23:49:53,1001974006008950784,0,1,0.0
"Kinder Morgan will be Trudeau’s Waterloo

The Texas oil company’s problem is now our problem  and it’s all thanks to Justin Trudeau

https://t.co/Yo7NHYM2ms
#cdnpoli #bcpoli #StopKinderMorganBailout #YVR #Vancouver @JustinTrudeau @cathmckenna https://t.co/AmIkC5F9K7",2018-05-30 23:49:28,1001973902824869888,1,0,0.1779
Kinder Morgan Starts Over https://t.co/jb9ad34Ve4 https://t.co/YfnyKsY3Rw,2018-05-30 23:48:56,1001973766900142080,0,0,0.4939
Canada to Buy Controversial Tar Sands Pipeline https://t.co/wwxRtBV8UQ https://t.co/U3fZpfeZmL,2018-05-30 23:48:44,1001973717617037319,0,0,-0.2023
Kinder Morgan Deal Numbers Just Don’t Add Up  via @TheTyee https://t.co/SxYEq4DplY,2018-05-30 23:48:29,1001973654308212741,1,0,0.4939
Kinder Morgan Deal Numbers Just Don’t Add Up  via @TheTyee https://t.co/SxYEq4DplY,2018-05-30 23:48:29,1001973654308212741,1,0,0.4939
@CharlieAngusNDP Forget about it. @Bill_Morneau can only get $4.5 billion by stealing it from our grandchildren or  more likely  our pensions. When Kinder Morgan bought that 57 year old pipeline 11 years ago they only paid $0.55 billion. For that kind of money  we can solar panel build factories.,2018-05-30 23:47:53,1001973503048978442,2,1,-0.34
